chapter,verse,question,answer
1,1,"Who have undertaken to compile a narrative","Many"
1,1,"What have many undertaken to compile","(A) Narrative"
1,1,"Of what have many undertaken to compile a narrative [OR What have been accomplished among us]","The things"
1,2,"Who have delivered them to us","Those who from the beginning were eyewitnesses and ministers of the word"
1,2,"From when were those eyewitnesses and ministers of the word","The beginning"
1,3,"What did it seem good to me","To write an orderly account for you"
1,3,"For whom did it seem good to write an orderly account","You, most excellent Theophilus"
1,3,"Having what did it seem good to me to write an orderly account","Followed all things closely"
1,4,"What may you have","Certainty"
1,4,"Concerning what may you have certainty [OR What have you been taught]","The things (you have been taught)"
1,5,"In when was there a priest named Zechariah","The days of Herod"
1,5,"Who was there","(A) Priest named Zechariah"
1,5,"Of what was Zechariah (was there a priest named Zechariah)","The division of Abijah"
1,5,"Whom did he have","(A) Wife"
1,5,"From whom did he have a wife","The daughters of Aaron"
1,5,"What was her name","Elizabeth"
1,6,"Who were righteous before God","(They) Both"
1,6,"Before whom were they both righteous","God"
1,6,"What were they both","Righteous (before God)"
1,6,"How were they both righteous before God","Walking blamelessly"
1,7,"Whom did they have","No child"
1,7,"Why did they have no child","Because Elizabeth was barren OR Both were advanced in years"
1,7,"What was Elizabeth","Barren"
1,7,"Who was barren","Elizabeth"
1,7,"Who were advanced in years","Both"
1,7,"What were both","Advanced in years"
1,7,"In what were both advanced","Years"
1,8,"As whom was he serving","Priest (before God)"
1,8,"Before whom was he serving as priest","God"
1,8,"What was on duty","His division"
1,8,"On what was his division","Duty"
1,9,"According to what was he chosen by lot","The custom of the priesthood"
1,9,"What was he","Chosen by lot (to enter the temple of the Lord and burn incense)"
1,9,"By what was he chosen","Lot"
1,9,"Why was he chosen by lot","To enter the temple of the Lord and burn incense"
1,10,"Who were praying outside","The whole multitude of the people"
1,10,"Where were the whole multitude of the people praying","Outside"
1,10,"At when were the whole multitude of the people praying","The hour of incense"
1,11,"Who appeared to him","(An)angel of the Lord"
1,11,"Standing where did there appear to him an angel of the Lord","On the right side of the altar of incense"
1,12,"Who was troubled","Zechariah"
1,12,"When was Zechariah troubled","When he saw him"
1,12,"What fell upon him","Fear"
1,13,"Who said","The angel"
1,13,"What did the angel say","“Do not be afraid, Zechariah, for your prayer has been heard, and your wife Elizabeth will bear you a son, and you shall call his name John.”"
1,13,"Do not what","Be afraid"
1,13,"Who do not be afraid","Zechariah"
1,13,"Why do not be afraid","For your prayer has been heard"
1,13,"What has been heard","Your prayer"
1,13,"Who will bear you a son","Your wife Elizabeth"
1,13,"Whom will your wife Elizabeth bear you","(A) Son"
1,13,"What shall you call his name","John"
1,14,"What will you have","Joy and gladness"
1,14,"Who will rejoice at his birth","Many"
1,14,"At what will many rejoice","His birth"
1,15,"What will he be","Great before the Lord OR Filled with the Holy Spirit (even from his mother’s womb)"
1,15,"Before whom will he be great","The Lord"
1,15,"What must he not drink","Wine or strong drink"
1,15,"With whom will he be filled","The Holy Spirit"
1,15,"From what will he be filled with the Holy Spirit","His mother’s womb"
1,16,"Whom will he turn (to the Lord their God)","Many of the children of Israel"
1,16,"To whom will he turn many of the children of Israel","The Lord their God"
1,17,"In what will he go before him","The spirit and power of Elijah"
1,17,"Why will he go before him","To turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just OR To make ready for the Lord a people prepared"
1,18,"Who said","Zechariah"
1,18,"To whom did Zechariah say","The angel"
1,18,"What did Zechariah say","“How shall I know this, for I am an old man, and my wife is advanced in years”"
1,18,"Who am I","(An)old man"
1,18,"Who is advanced in years","My wife"
1,18,"In what is my wife advanced","Years"
1,19,"Who answered","The angel"
1,19,"What did the angel answer","“I am Gabriel” OR “I stand in the presence of God, and I was sent to speak to you and to bring you this good news”"
1,19,"Who am I","Gabriel"
1,19,"In what do I stand","The presence of God"
1,19,"What was I","Sent"
1,19,"Why was I sent","To speak to you and to bring you this good news"
1,20,"What will you be (until the day that these things take place)","Silent and unable to speak"
1,20,"Until when will you be silent and unable to speak","The day that these things take place"
1,20,"Why will you be silent and unable to speak (until the day that these things take place)","Because you did not believe my words"
1,20,"What did you not believe [OR What will be fulfilled in their time]","My words"
1,20,"In when will my words be fulfilled","Their time"
1,21,"Who were waiting for Zechariah","The people"
1,21,"For whom were the people waiting","Zechariah"
1,21,"At what were they wondering","His delay in the temple"
1,22,"When was he unable to speak (to them)","When he came out"
1,22,"What was he","Unable to speak to them"
1,22,"What did they realize that he had seen","(A) Vision (in the temple)"
1,22,"In where had he seen a vision [OR In where did they realize that he had seen a vision]","The temple"
1,22,"What did he keep making","Signs to them"
1,22,"What did he remain","Mute"
1,23,"When did he go to his home","When his time of service was ended"
1,23,"What was ended","His time of service"
1,23,"To where did he go","His home"
1,24,"After when did his wife Elizabeth conceive","These days"
1,24,"Who conceived (kept herself hidden)","His wife Elizabeth"
1,24,"For when did she keep herself hidden","Five months"
1,24,"What did she keep herself [OR How did she keep herself]","Hidden"
1,25,"Who has done thus for me","The Lord"
1,25,"In when has the Lord done thus for me","The days when he looked on me"
1,25,"Why did he look on me","To take away my reproach among the people"
1,26,"In when was the angel Gabriel sent","The sixth month"
1,26,"Who was sent","The angel Gabriel"
1,26,"From whom was the angel Gabriel sent","God"
1,26,"To where was the angel Gabriel sent","(A) City of Galilee named Nazareth"
1,27,"What was the virgin’s name","Mary"
1,28,"What did he say (come to her and say)","“Greetings, O favored one, the Lord is with you”"
1,28,"Who is with you","The Lord"
1,29,"What was she","Greatly troubled"
1,29,"How was she troubled","Greatly"
1,29,"At what was she greatly troubled","The saying"
1,29,"What did she try to discern","What sort of greeting this might be"
1,30,"Who said","The angel"
1,30,"What did the angel say","“Do not be afraid, Mary, for you have found favor with God”"
1,30,"Do not what","Be afraid"
1,30,"Who do not be afraid","Mary"
1,30,"Why do not be afraid","For you have found favor with God"
1,30,"What have you found","Favor with God"
1,30,"With whom have you found favor","God"
1,31,"In what will you conceive","Your womb"
1,31,"Whom will you bear","(A) Son"
1,31,"What shall you call his name","Jesus"
1,32,"What will he be","Great OR Called the Son of the Most High"
1,32,"Of whom will he be called the Son [OR Who will give him the throne of his father David]","The Most High OR The Lord God"
1,32,"What will the Lord God give (to him)","The throne of his father David"
1,33,"Over whom will he reign forever","The house of Jacob"
